mass_A
t,x,y
6.613328080E0,-1.025244910E1,2.294032713E0
6.622708767E0,-1.024438130E1,2.295347195E0
6.632089454E0,-1.023519678E1,2.295785676E0
6.641470141E0,-1.022986106E1,2.296047043E0
6.650850828E0,-1.023169633E1,2.296123173E0
6.660231515E0,-1.023163030E1,2.296305475E0
6.669612202E0,-1.023219943E1,2.296355449E0
6.678992889E0,-1.023261093E1,2.296328249E0
6.688373576E0,-1.023293671E1,2.296351230E0
6.697754264E0,-1.022496609E1,2.295676619E0
6.707134951E0,-1.017983214E1,2.291727290E0
6.716515638E0,-1.014172963E1,2.289973783E0
6.725896325E0,-1.013166723E1,2.291210867E0
6.735277012E0,-1.012321858E1,2.291926003E0
6.744657699E0,-1.011434482E1,2.293104523E0
6.754038386E0,-1.011126251E1,2.294068099E0
6.763419073E0,-1.011113915E1,2.294199059E0
6.772799760E0,-1.011111537E1,2.294380517E0
6.782180447E0,-1.010316187E1,2.293552641E0
6.791561134E0,-1.006750401E1,2.289705327E0
6.800941821E0,-1.002185314E1,2.287302200E0
6.810322508E0,-1.000853199E1,2.285912106E0
6.819703195E0,-9.984219600E0,2.287839897E0
6.829083882E0,-9.954676608E0,2.290032399E0
6.838464569E0,-9.948427870E0,2.291272317E0
6.847845256E0,-9.948278990E0,2.291991600E0
6.857225943E0,-9.948094436E0,2.292176706E0
6.866606630E0,-9.945534048E0,2.292283798E0
6.875987317E0,-9.932880842E0,2.291967248E0
6.885368004E0,-9.920412559E0,2.291957388E0
6.894748691E0,-9.914905279E0,2.292114795E0
6.904129378E0,-9.902992985E0,2.293607389E0
6.913510065E0,-9.891038494E0,2.294922099E0
6.922890753E0,-9.884577536E0,2.295390333E0
6.932271440E0,-9.871055925E0,2.295798397E0
6.941652127E0,-9.857977668E0,2.296899240E0
6.951032814E0,-9.850295243E0,2.296836774E0
6.960413501E0,-9.837733379E0,2.295914688E0
6.969794188E0,-9.826140912E0,2.295474341E0
6.979174875E0,-9.815112954E0,2.295137595E0
6.988555562E0,-9.791601563E0,2.294478290E0
6.997936249E0,-9.764964218E0,2.294587185E0
7.007316936E0,-9.754084794E0,2.294870946E0
7.016697623E0,-9.742733163E0,2.294669742E0
7.026078310E0,-9.733325445E0,2.294972029E0
7.035458997E0,-9.724247618E0,2.294686648E0
7.044839684E0,-9.712612470E0,2.293861119E0
7.054220371E0,-9.702414356E0,2.293391626E0
7.063601058E0,-9.691637383E0,2.292857156E0
7.072981745E0,-9.677281406E0,2.291798298E0
7.082353052E0,-9.665092710E0,2.291465286E0
7.091733739E0,-9.655809982E0,2.290583516E0
7.101114426E0,-9.643390163E0,2.290941396E0
7.110495113E0,-9.632916612E0,2.290588146E0
7.119875800E0,-9.624769560E0,2.290493016E0
7.129256487E0,-9.614185458E0,2.291085048E0
7.138637174E0,-9.606833815E0,2.290921489E0
7.148017861E0,-9.600163059E0,2.292145754E0
7.157398548E0,-9.599714905E0,2.292466359E0
7.166779235E0,-9.599610856E0,2.292631039E0
7.176159922E0,-9.594457502E0,2.292471864E0
7.185540609E0,-9.562903186E0,2.290603329E0
7.194921296E0,-9.507216787E0,2.291869312E0
7.204301983E0,-9.494788384E0,2.291661368E0
7.213682670E0,-9.484761952E0,2.291763638E0
7.223063357E0,-9.471852464E0,2.291622113E0
7.232444044E0,-9.465102073E0,2.292141169E0
7.241824731E0,-9.464185624E0,2.292255145E0
7.251205418E0,-9.463369649E0,2.292168757E0
7.260586105E0,-9.463075368E0,2.292309225E0
7.269966792E0,-9.462796851E0,2.292486500E0
7.279347479E0,-9.462530451E0,2.292665870E0
7.288728166E0,-9.458015662E0,2.292709152E0
7.298108853E0,-9.422621604E0,2.293214528E0
7.307489541E0,-9.370342286E0,2.296173121E0
7.316870228E0,-9.363587754E0,2.296119917E0
7.326250915E0,-9.350302171E0,2.295842070E0
7.335631602E0,-9.337880467E0,2.295631219E0
7.345012289E0,-9.335483515E0,2.295502437E0
7.354392976E0,-9.335650296E0,2.295479235E0
7.363773663E0,-9.335642128E0,2.295480466E0
7.373154350E0,-9.335734080E0,2.295418137E0
7.382535037E0,-9.335912421E0,2.295506498E0
7.391915724E0,-9.336010683E0,2.295467847E0
7.401296411E0,-9.331225133E0,2.295023084E0
7.410677098E0,-9.302729142E0,2.294003960E0
7.420057785E0,-9.176669626E0,2.294472058E0
7.429438472E0,-9.168577189E0,2.294511575E0
7.438819159E0,-9.168667706E0,2.294613515E0
7.448199846E0,-9.168601364E0,2.294737885E0
7.457580533E0,-9.165343720E0,2.294785156E0
7.466961220E0,-9.155327052E0,2.295225602E0
7.476341907E0,-9.145815669E0,2.295692283E0
7.485722594E0,-9.136551548E0,2.295616768E0
7.495103281E0,-9.123694205E0,2.295520804E0
7.504483968E0,-9.110589670E0,2.295232603E0
7.513864655E0,-9.099540348E0,2.295013506E0
7.523245342E0,-9.088929727E0,2.294370959E0
7.532626030E0,-9.074112500E0,2.293851776E0
7.542006717E0,-9.063759717E0,2.293437112E0
7.551387404E0,-9.050956135E0,2.292098257E0
7.560768091E0,-9.038386179E0,2.291117681E0
7.570148778E0,-9.031035292E0,2.291221705E0
7.579529465E0,-9.017266528E0,2.291952726E0
7.588910152E0,-9.003859672E0,2.292920728E0
7.598290839E0,-8.998662639E0,2.292894033E0
7.607671526E0,-8.986036374E0,2.292580513E0
7.617052213E0,-8.974738119E0,2.292113116E0
7.626432900E0,-8.967971854E0,2.291814881E0
7.635813587E0,-8.939546988E0,2.291133030E0
7.645194274E0,-8.908161566E0,2.292832314E0
7.654574961E0,-8.895564050E0,2.293134166E0
7.663955648E0,-8.881567524E0,2.293433471E0
7.673336335E0,-8.870793839E0,2.293873968E0
7.682717022E0,-8.861456293E0,2.294062979E0
7.692097709E0,-8.849903093E0,2.294801282E0
7.701478396E0,-8.838835950E0,2.295119411E0
7.710859083E0,-8.830231791E0,2.295381310E0
7.720239770E0,-8.819153901E0,2.295572843E0
7.729620457E0,-8.811681555E0,2.295470234E0
7.739001144E0,-8.806425214E0,2.295896894E0
7.748381831E0,-8.805428525E0,2.295928485E0
7.757762519E0,-8.805203914E0,2.295886787E0
7.767143206E0,-8.800308486E0,2.295418844E0
7.776523893E0,-8.773150858E0,2.294606262E0
7.785904580E0,-8.741497392E0,2.295442142E0
7.795285267E0,-8.729153888E0,2.295593741E0
7.804665954E0,-8.716955601E0,2.295629502E0
7.814046641E0,-8.702238144E0,2.295900616E0
7.823427328E0,-8.695220226E0,2.295837076E0
7.832808015E0,-8.683648814E0,2.296673426E0
7.842188702E0,-8.673261852E0,2.297787013E0
7.851569389E0,-8.668260646E0,2.297843563E0
7.860950076E0,-8.668208337E0,2.297856179E0
7.870330763E0,-8.668026034E0,2.297887394E0
